차 이름,연식,키로수,가격
현대 아이오닉5 롱레인지 AWD 프레스티지,23/03식,"24,772km","3,990만원"
현대 더 뉴 싼타페 HEV 1.6 2WD 프레스티지,21/09식,"60,140km","3,250만원"
현대 아이오닉5 롱레인지 익스클루시브,21/11식,"43,000km",렌트월68만원/20개월
지프 랭글러 (JL) 2.0 오버랜드 파워 탑 4도어 4xe,22/12식,"6,450km","7,100만원"
벤츠 EQB X243 EQB300 4MATIC,23/07식,"20,770km",리스월79만원/50개월
벤츠 EQE V295 EQE350+,22/12식,"6,000km",리스월119만원/54개월
아우디 e-트론 50 콰트로,22/05식,"41,000km",리스월136만원/38개월
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,23/05식,"30,000km",리스월116만원/49개월
현대 NF 쏘나타 트랜스폼 LPG N20 고급형,08/01식,"206,000km",220만원
현대 그랜저 하이브리드 (GN7) 캘리그래피,23/10식,"10,000km",렌트월70만원/42개월
BMW i8 로드스터,19/08식,"43,500km",리스월35만원/18개월
포르쉐 타이칸 4S 크로스 투리스모,23/03식,"5,500km",리스월321만원/47개월
테슬라 모델 S 롱 레인지,20/12식,"45,000km",리스월123만원/19개월
아우디 Q4 e-트론 40 프리미엄,23/11식,12km,리스월2만원/57개월
아우디 Q4 e-트론 40 프리미엄,22/10식,"15,502km",리스월88만원/47개월
테슬라 모델 Y 롱 레인지,22/05식,"54,600km",렌트월155만원/25개월
재규어 I-PACE EV400 퍼스트 에디션,19/12식,"58,976km","4,400만원"
기아 K8 하이브리드 노블레스,21/08식,"36,341km","3,380만원"
기아 K8 하이브리드 노블레스,22/06식,"26,500km",리스월50만원/39개월
기아 K8 하이브리드 시그니처,22/11식,"22,000km",렌트월80만원/31개월
테슬라 모델 Y 스탠다드 레인지,21/09식,"51,880km",리스월74만원/28개월
쉐보레(GM대우) 스파크 LPG LS 기본형,12/04식,"130,000km",150만원
벤츠 EQE V295 EQE350 4MATIC,23/03식,"29,868km",리스월124만원/47개월
기아 올 뉴 K7 하이브리드 노블레스,19/04식,"93,100km","1,600만원"
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,19/06식,"89,000km","2,580만원"
벤츠 EQE V295 EQE300,23/06식,"9,000km","6,300만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드,20/07식,"26,000km",리스월245만원/31개월
테슬라 모델 3 스탠다드 레인지 플러스,20/06식,"73,000km","3,550만원"
BMW i8 쿠페,15/10식,"83,000km","99,990만원"
BMW i8 로드스터,19/12식,"41,000km",리스월170만원/13개월
기아 그랜드 카니발 LPI GLX 기본형,09/04식,"148,000km",750만원
BMW i8 쿠페,15/05식,"112,000km",리스월141만원/11개월
BMW 3시리즈 (G20) 320e M 스포츠,22/03식,"25,000km",리스월76만원/35개월
기아 EV6 롱레인지 에어,23/03식,"13,000km",렌트월81만원/48개월
BMW iX xDrive40 퍼스트에디션,21/11식,"28,000km",리스월108만원/45개월
기아 EV6 롱레인지 에어,21/11식,"51,500km",렌트월50만원/21개월
테슬라 모델 Y 롱 레인지,22/09식,"14,000km","7,000만원"
포르쉐 파나메라 (971) 2.9 AWD E-하이브리드,20/03식,"38,000km","12,500만원"
미니 쿠퍼 일렉트릭 레솔루트 에디션 1세대,23/07식,"10,150km","3,300만원"
현대 아이오닉5 롱레인지 AWD 익스클루시브,21/08식,"36,500km",렌트월60만원
기아 EV6 롱레인지 4WD GT Line,23/09식,"23,000km",렌트월89만원
BMW i8 쿠페,17/01식,"60,000km","7,900만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페 플래티넘 에디션,23/06식,"14,500km",리스월181만원
포르쉐 타이칸 4S,21/03식,"21,900km","12,800만원"
BMW i8 쿠페,16/10식,"32,000km","8,900만원"
쉐보레(GM대우) 볼트 EV EV 프리미어,19/05식,"105,000km","1,680만원"
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,21/10식,"36,000km",리스월105만원
벤츠 EQB X243 EQB300 4MATIC AMG 라인,23/06식,"21,000km",리스월92만원
현대 그랜저 HG 하이브리드 프리미엄 컬렉션,14/05식,"215,255km",799만원
제네시스 GV60 퍼포먼스 AWD (세부등급 없음),22/03식,"25,800km","5,900만원"
