차 이름,연식,키로수,가격
현대 그랜저 하이브리드 (GN7) 캘리그래피,23/09식,"7,900km","4,554"
테슬라 모델 Y 롱 레인지,22/12식,"15,000km","6,200"
테슬라 모델 3 롱 레인지,20/06식,"71,000km","2,268"
폴스타 폴스타 2 롱레인지 싱글모터,22/07식,"60,024km","3,803"
포르쉐 타이칸 베이스,22/02식,"29,142km","10,575"
쉐보레(GM대우) 올란도 LPG LT 컨비니언스팩,15/04식,"112,000km",720
기타 제조사 기타 기타 전기차,20/11식,"17,000km",280
지프 랭글러 (JL) 2.0 오버랜드 파워 탑 4도어 4xe,22/12식,"6,450km","7,100"
벤츠 EQB X243 EQB300 4MATIC,23/07식,"20,770km","6,558"
포르쉐 타이칸 GTS,22/11식,"13,300km","15,189"
현대 LF 쏘나타 하이브리드 2.0 HEV 모던 스페셜,15/03식,"136,000km","1,080"
현대 더 뉴 그랜저 IG 하이브리드 캘리그래피,20/02식,"51,000km","3,390"
테슬라 모델 3 스탠다드 레인지 플러스,19/11식(20년형),"57,000km","3,250"
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,23/03식,"23,000km","10,338"
렉서스 ES300h 7세대 럭셔리 플러스,23/02식,"34,600km","5,080"
아우디 e-트론 50 콰트로,22/05식,"41,000km","6,000"
테슬라 모델 X 롱 레인지,19/12식,"98,500km","6,850"
현대 투싼 하이브리드 (NX4) N Line 2WD 인스퍼레이션,22/01식,"34,000km","3,500"
렉서스 CT200h 1.8 컴팩트 럭셔리 ZWA10,11/02식,"190,000km",899
BMW i4 eDrive40 M 스포츠,23/10식(24년형),"14,000km","6,117"
제네시스 일렉트리파이드 G80 (RG3) e-AWD,22/05식,"72,000km","31,308"
현대 NF 쏘나타 트랜스폼 LPG N20 고급형,08/01식,"206,000km",220
BMW 5시리즈 (G30) 530e M 스포츠,22/09식,"34,000km","5,563"
현대 그랜저 하이브리드 (GN7) 캘리그래피,23/10식,"10,000km","2,000"
제네시스 일렉트리파이드 G80 (RG3) e-AWD,22/10식,"7,420km","7,480"
현대 더 뉴 투싼 하이브리드 (NX4) HEV 1.6 2WD 프리미엄,23/02식,"27,000km","3,624"
현대 더 뉴 그랜저 IG 하이브리드 캘리그래피,20/03식,"46,700km","3,580"
제네시스 일렉트리파이드 GV70 e-AWD,22/04식,"33,000km","3,225"
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,21/05식,"31,000km","5,900"
기아 쏘렌토 4세대 HEV 1.6 2WD 그래비티,22/05식,"20,842km","4,290"
현대 아이오닉6 롱레인지 AWD 프레스티지,23/03식,"6,500km","3,456"
렉서스 뉴 ES300h 슈프림+ XV60,18/06식,"76,000km","3,245"
현대 아이오닉5 롱레인지 AWD 익스클루시브,22/07식,"23,000km","1,477"
BMW i8 로드스터,19/08식,"43,500km","13,700"
포르쉐 타이칸 4S 크로스 투리스모,23/03식,"5,500km","18,800"
기아 EV9 에어 4WD,24/03식,"1,399km","6,740"
아우디 Q4 e-트론 40 프리미엄,22/10식,"15,502km","4,800"
테슬라 모델 Y 롱 레인지,23/06식,"10,000km","7,200"
테슬라 모델 Y RWD,23/08식,"18,600km","5,380"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드,21/02식,"55,000km","10,500"
기아 더 뉴 카니발 4세대 HEV 9인승 노블레스,24/04식,800km,"4,266"
테슬라 모델 3 스탠다드 레인지 플러스,22/09식,"20,000km","3,900"
볼보 XC60 2세대 T8 인스크립션,21/05식,"16,870km","6,300"
기아 쏘렌토 4세대 HEV 1.6 2WD 노블레스,23/05식,"18,063km","2,470"
벤츠 EQE V295 EQE350+,22/12식,"6,000km","8,584"
포르쉐 파나메라 (971) 2.9 AWD E-하이브리드,20/03식,"38,000km","12,500"
현대 그랜저 IG 하이브리드 익스클루시브,18/07식(19년형),"96,829km","2,300"
기아 EV6 롱레인지 GT Line,22/04식,"31,413km","3,863"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페,20/08식,"28,000km","12,100"
현대 더 뉴 싼타페 HEV 1.6 2WD 프레스티지,21/09식(22년형),"60,140km","3,250"
현대 아이오닉5 롱레인지 AWD 익스클루시브,21/08식(22년형),"36,500km","3,500"
기아 EV6 롱레인지 4WD GT Line,23/09식,"23,000km","4,606"
BMW i8 쿠페,17/01식,"60,000km","7,900"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페 플래티넘 에디션,23/06식,"14,500km","14,890"
포르쉐 타이칸 4S,21/03식,"21,900km","12,800"
기아 K5 LPI 디럭스,13/03식,"178,968km",440
BMW i8 쿠페,16/10식,"32,000km","8,900"
현대 아이오닉5 롱레인지 익스클루시브,21/11식(22년형),"43,000km","1,428"
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,21/10식,"36,000km","5,845"
벤츠 EQB X243 EQB300 4MATIC AMG 라인,23/06식,"21,000km","5,300"
벤츠 EQB X243 EQB300 4MATIC AMG 라인,23/06식,"21,000km","5,300"
현대 그랜저 HG 하이브리드 프리미엄 컬렉션,14/05식(15년형),"215,255km",799
현대 그랜저 하이브리드 (GN7) 익스클루시브,23/07식,"16,000km","4,594"
현대 아이오닉 일렉트릭 Q,18/02식,"70,139km","1,280"
기타 제조사 기타 기타 전기차,20/11식,"57,000km",700
르노코리아(삼성) 뉴SM5 플래티넘 LPLI 택시렌터카 고급형,13/03식,"100,800km",410
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,23/05식,"30,000km",0
테슬라 모델 3 롱 레인지,22/09식,"19,512km","4,800"
벤츠 EQE V295 EQE350 4MATIC,23/12식,"6,900km","8,688"
현대 아이오닉5 롱레인지 AWD 프레스티지,23/03식,"24,772km","3,990"
기아 쏘렌토 4세대 HEV 1.6 2WD 그래비티,22/04식,"32,260km","2,516"
테슬라 모델 Y 롱 레인지,22/05식,"54,600km",0
아우디 Q4 e-트론 40 프리미엄,23/11식,"5,500km","5,200"
재규어 I-PACE EV400 퍼스트 에디션,19/12식,"58,976km","4,400"
BMW 7시리즈 (G11) 745Le i퍼포먼스 M 스포츠,22/07식,"37,700km","8,096"
제네시스 GV60 퍼포먼스 AWD,22/03식,"25,800km","5,900"
기아 레이 EV,12/12식(13년형),"29,500km",590
기아 스포티지 5세대 하이브리드 노블레스 2WD,24/01식,"5,010km","1,548"
볼보 S90 T8 AWD 얼티메이트 브라이트,22/12식(23년형),"27,000km","6,700"
현대 더 뉴 그랜저 IG 하이브리드 르블랑,21/09식(22년형),"39,000km","1,892"
테슬라 모델 Y 롱 레인지,21/09식,"52,580km","5,900"
